keys,id,en
## menu utama,,
BERMAIN,Petualangan,Adventure
%buat_server,  Buat Server,  Create Server
%gabung_server,  Gabung Server,  Join to Server
%karakter,  Karakter,  Character
%tentang%,Tentang,About
PENGATURAN,Pengaturan,Settings
KELUAR,Keluar,Exit
,,
# tombol,,
%oke,  Oke,  Ok
%batal,  Batal,  Cancel
%sambungkan,  Sambungkan,  Connect
%mulai, Mulai, Start
%simpan,  Simpan,  Save
%tutup,Tutup,Close
%konfirmasi,Konfirmasi,Confirm
,,
# koneksi,,
%internet,  Internet,  Internet
%lan,  Jaringan Lokal,  LAN
%lokal, Lokal, Local
%publik, Publik, Public
%menghubungkan, Menghubungkan, Connecting
,,
# karakter,,
%nama,Nama,Name
%gender,Gender,Sex
%cewek,  Cewek,  Female
%cowok,  Cowok,  Male
%alis,Alis,Eyebrows
%bulu_mata,Bulu mata,Eyelashes
%bola_mata,Bola mata,Eyeball
%gaya,Gaya,Style
%warna,Warna,Color
%warna_mata,Warna Mata,Eyeball Color
%baju,Baju,Dress
%celana,Celana,Pants
%sepatu,Sepatu,Shoes
,,
# konfigurasi,,
%setelan,Setelan,Settings
TAMPILAN,Tampilan,Appearance
bahasa,Bahasa,Language
pilih_bahasa,Pilih Bahasa,Select Language
%input,Masukan,Input
sensitivitas_gestur,Sensitivitas Gestur,Gesture Sensitivity
kontrol_gerak,Kontrol Gerakan,Movement Control
%audio,Suara,Sound
VOLUME,Volume Permainan,Game Volume
musik_latar,Volume Musik,Music Volume
%performa,Performa,Performance
jarak_render,Jarak Render,Render Distance
GRAFIK,Grafik,Graphics
BALIKBAYANGAN,Balikkan render bayangan,Invert shadow
MODEVR,Mode Virtual Reality,VR Mode
SKALARESOLUSI,Skala Resolusi,Resolution Scale
%setelan_umum,Setelan Umum,General Settings
%mode_layar_penuh,Mode Layar Penuh,Toggle Fullscreen
%laporkan_bug,Laporkan Bug,Report Bugs
%sarankan_fitur,Request/Sarankan Fitur,Suggest Features
%tampilkan_log,Tampilkan Log,Show Log
%tampilkan_konsol,Tampilkan Konsol Debug,Show Debug Console
%nama_server,Nama Server,Server Name
%jumlah_pemain,Jumlah Pemain,Max Player
%akses,Akses,Access
,,
# proses memuat,,
kompilasi_shader,Memuat Shader...,Compiling Shader...
kompilasi_karakter,Membuat Karakter Pemain,Creating Player Character
%memuat_map%,Memuat Map...,Loading Map...
